,start_time,blendshapes
40,2633.3333333333335,"[Category(index=5, score=0.20626229047775269, display_name='', category_name='browOuterUpRight'), Category(index=18, score=0.2077256590127945, display_name='', category_name='eyeLookUpRight'), Category(index=19, score=0.3539418876171112, display_name='', category_name='eyeSquintLeft'), Category(index=20, score=0.3779505491256714, display_name='', category_name='eyeSquintRight'), Category(index=36, score=0.23661217093467712, display_name='', category_name='mouthPressLeft')]"
41,2533.333333333333,"[Category(index=17, score=0.21384495496749878, display_name='', category_name='eyeLookUpLeft'), Category(index=18, score=0.2510185241699219, display_name='', category_name='eyeLookUpRight'), Category(index=19, score=0.410168319940567, display_name='', category_name='eyeSquintLeft'), Category(index=20, score=0.4533576965332031, display_name='', category_name='eyeSquintRight'), Category(index=36, score=0.3368970453739166, display_name='', category_name='mouthPressLeft')]"
42,2466.666666666667,"[Category(index=17, score=0.28612634539604187, display_name='', category_name='eyeLookUpLeft'), Category(index=18, score=0.33728405833244324, display_name='', category_name='eyeLookUpRight'), Category(index=19, score=0.4072915017604828, display_name='', category_name='eyeSquintLeft'), Category(index=20, score=0.5262397527694702, display_name='', category_name='eyeSquintRight'), Category(index=36, score=0.5203379392623901, display_name='', category_name='mouthPressLeft')]"
43,2366.6666666666665,"[Category(index=4, score=0.22810712456703186, display_name='', category_name='browOuterUpLeft'), Category(index=15, score=0.2145313173532486, display_name='', category_name='eyeLookOutLeft'), Category(index=18, score=0.23282483220100403, display_name='', category_name='eyeLookUpRight'), Category(index=19, score=0.2972820997238159, display_name='', category_name='eyeSquintLeft'), Category(index=20, score=0.5074028968811035, display_name='', category_name='eyeSquintRight')]"
44,2266.6666666666665,"[Category(index=4, score=0.20998209714889526, display_name='', category_name='browOuterUpLeft'), Category(index=14, score=0.45875421166419983, display_name='', category_name='eyeLookInRight'), Category(index=15, score=0.45372480154037476, display_name='', category_name='eyeLookOutLeft'), Category(index=19, score=0.30045703053474426, display_name='', category_name='eyeSquintLeft'), Category(index=20, score=0.44264376163482666, display_name='', category_name='eyeSquintRight'), Category(index=44, score=0.381018728017807, display_name='', category_name='mouthSmileLeft'), Category(index=45, score=0.3769397437572479, display_name='', category_name='mouthSmileRight')]"
45,2166.6666666666665,"[Category(index=14, score=0.21245816349983215, display_name='', category_name='eyeLookInRight'), Category(index=15, score=0.21885934472084045, display_name='', category_name='eyeLookOutLeft'), Category(index=19, score=0.3172970712184906, display_name='', category_name='eyeSquintLeft'), Category(index=20, score=0.4238418638706207, display_name='', category_name='eyeSquintRight'), Category(index=44, score=0.5306523442268372, display_name='', category_name='mouthSmileLeft'), Category(index=45, score=0.5287821292877197, display_name='', category_name='mouthSmileRight')]"
46,2100.0,"[Category(index=4, score=0.5318230986595154, display_name='', category_name='browOuterUpLeft'), Category(index=5, score=0.21519406139850616, display_name='', category_name='browOuterUpRight'), Category(index=11, score=0.20812608301639557, display_name='', category_name='eyeLookDownLeft'), Category(index=20, score=0.23379752039909363, display_name='', category_name='eyeSquintRight'), Category(index=44, score=0.5716179609298706, display_name='', category_name='mouthSmileLeft'), Category(index=45, score=0.5887397527694702, display_name='', category_name='mouthSmileRight')]"
47,2000.0,"[Category(index=4, score=0.24675533175468445, display_name='', category_name='browOuterUpLeft'), Category(index=9, score=0.28176599740982056, display_name='', category_name='eyeBlinkLeft'), Category(index=10, score=0.25568559765815735, display_name='', category_name='eyeBlinkRight'), Category(index=19, score=0.21197183430194855, display_name='', category_name='eyeSquintLeft'), Category(index=20, score=0.2287231832742691, display_name='', category_name='eyeSquintRight'), Category(index=44, score=0.6512339115142822, display_name='', category_name='mouthSmileLeft'), Category(index=45, score=0.742159366607666, display_name='', category_name='mouthSmileRight')]"
48,1900.0,"[Category(index=5, score=0.20862865447998047, display_name='', category_name='browOuterUpRight'), Category(index=9, score=0.21105845272541046, display_name='', category_name='eyeBlinkLeft'), Category(index=14, score=0.20257049798965454, display_name='', category_name='eyeLookInRight'), Category(index=19, score=0.2564884126186371, display_name='', category_name='eyeSquintLeft'), Category(index=20, score=0.2738032937049866, display_name='', category_name='eyeSquintRight'), Category(index=44, score=0.7299566864967346, display_name='', category_name='mouthSmileLeft'), Category(index=45, score=0.6784045696258545, display_name='', category_name='mouthSmileRight')]"
49,1800.0,"[Category(index=4, score=0.2741389870643616, display_name='', category_name='browOuterUpLeft'), Category(index=5, score=0.21350444853305817, display_name='', category_name='browOuterUpRight'), Category(index=9, score=0.2293395698070526, display_name='', category_name='eyeBlinkLeft'), Category(index=11, score=0.29540926218032837, display_name='', category_name='eyeLookDownLeft'), Category(index=12, score=0.24760253727436066, display_name='', category_name='eyeLookDownRight'), Category(index=14, score=0.3081783652305603, display_name='', category_name='eyeLookInRight'), Category(index=15, score=0.3007484972476959, display_name='', category_name='eyeLookOutLeft'), Category(index=19, score=0.3088470697402954, display_name='', category_name='eyeSquintLeft'), Category(index=20, score=0.3268599808216095, display_name='', category_name='eyeSquintRight'), Category(index=44, score=0.6701032519340515, display_name='', category_name='mouthSmileLeft'), Category(index=45, score=0.5605882406234741, display_name='', category_name='mouthSmileRight')]"
